year,week,winner,winner_corr,day,day_corr,date,date_corr,time,time_corr,pts_win,pts_loss,home_team_name,home_team_name_corr,away_team_name,away_team_name_corr,game_attendance,home_team_previous_year_performance,away_team_previous_year_performance,home_team_current_year_performance,away_team_current_year_performance,home_team_current_sos,away_team_current_sos,stadium_name,stadium_name_corr,stadium_max_capacity,stadium_regular_capacity,home_city,home_city_corr,weather_condition,weather_condition_corr
2017,1,Minnesota Vikings,0.013811930353968061,Mon,0.06245640168307258,2017-09-11,0.02061660385559365,19:10:00,-0.00011702742155542576,29,19,Vikings,-0.003678779619763062,Saints,0.03270381741713108,66606.0,0.9,1.5,9.1,9.2,1.0,1.5,US Bank,-0.003678779619763062,73000,66655,"Minneapolis,MN",-0.003678779619763062,Clear,0.05220517572910981
2017,1,Denver Broncos,-0.00023014199356097587,Mon,0.06245640168307258,2017-09-11,0.02061660385559365,22:20:00,-0.03508532127028029,24,21,Broncos,0.15040982233654798,Chargers,0.013759599850510824,76324.0,4.0,0.1,-6.7,3.6,-0.9,-1.5,Empower Field at Mile High,0.15040982233654798,76125,76125,"Denver,CO",0.15040982233654798,Rain,0.015868728319930726
2017,2,Houston Texans,0.013625463459506893,Thu,0.06372022105950415,2017-09-14,-0.04613550740946519,20:25:00,0.029557288829174022,13,9,Bengals,-0.2710597933741295,Texans,-0.042579257497052284,52942.0,1.0,-2.6,-5.0,-6.4,-1.3,-0.3,Paycor,-0.2710597933741295,67260,65515,"Cincinnati,OH",-0.2710597933741295,Rain,0.015868728319930726
2017,2,Kansas City Chiefs,0.027750628132671016,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,27,20,Chiefs,0.12218130123408712,Eagles,0.08512627311222101,74971.0,5.6,3.8,3.4,9.4,-1.3,-0.7,Arrowhead,0.12218130123408712,76416,76416,"Kansas_City,MO",0.12218130123408712,Cloudy,-0.05709445713883091
2017,2,Arizona Cardinals,-0.025122224600233268,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,16,13,Colts,-0.09404604598349998,Cardinals,-0.01846682970260173,63137.0,0.4,1.6,-10.1,-3.7,-1.3,0.4,Lucas Oil,-0.09404604598349998,70000,63000,"Indianapolis,IN",-0.09404604598349998,Clear,0.05220517572910981
2017,2,Carolina Panthers,0.058229187994587935,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,9,3,Panthers,0.10080953952838628,Bills,0.01636102515903889,74122.0,-1.0,-0.3,4.3,-4.0,2.1,-0.5,Bank of America,0.10080953952838628,74867,74867,"Charlotte,NC",0.10080953952838628,Cloudy,-0.05709445713883091
2017,2,New England Patriots,0.022078595515729698,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,36,20,Saints,0.09897224045278083,Patriots,0.04477429500403753,73168.0,1.5,9.3,9.2,8.9,1.5,-1.2,Caesars Superdome,0.09897224045278083,76468,73208,"New_Orleans,LA",0.09897224045278083,Clear,0.05220517572910981
2017,2,Pittsburgh Steelers,-0.08850739721311748,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,26,9,Steelers,-0.07006538751277144,Vikings,0.033444850057236616,65971.0,4.7,0.9,5.0,9.1,-1.1,1.0,Acrisure,-0.07006538751277144,68400,68400,"Pittsburgh,PA",-0.07006538751277144,Cloudy,-0.05709445713883091
2017,2,Tampa Bay Buccaneers,-0.10765876447555868,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,29,7,Buccaneers,-0.1893730010163946,Bears,0.023942515836268757,56640.0,-0.2,-7.5,-1.3,-1.3,1.7,2.2,Raymond James,-0.1893730010163946,74512,69218,"Tampa,FL",-0.1893730010163946,Cloudy,-0.05709445713883091
2017,2,Baltimore Ravens,-0.012335958036962302,Sun,-0.08153542351275765,2017-09-17,-0.03953657535525871,13:00:00,0.018938556585168822,24,10,Ravens,0.057536901152142675,Browns,-0.06556417458336795,70605.0,1.5,-10.1,3.4,-11.0,-2.4,0.0,M&T Bank,0.057536901152142675,70745,70745,"Baltimore,MD",0.057536901152142675,Cloudy,-0.05709445713883091
