linear_model_efficiency,linear_model_time,linear_model_precision,poly_model_efficiency,poly_model_time,poly_model_precision,lasso_model_efficiency,lasso_model_time,lasso_model_precision,ridge_model_efficiency,ridge_model_time,ridge_model_precision
0.8351686097879916,0.006285658921005343,0.7955321769652408,0.5467629967593786,1.0,0.6834537459492231,0.822964572560767,0.08583593368530273,0.8001646991222845,0.8064025702466473,0.03578901290893555,0.7669504660355428
0.8982043759639571,0.004977797732055093,0.8739999193879601,0.6919092776465448,1.0,0.8648865970581808,0.9183122722025554,0.0675668716430664,0.9147820581639607,0.9261160145771342,0.03786778450012207,0.9171119643464483
0.8763496068340897,0.005371444153998476,0.8467798695811116,0.6373042605976104,1.0,0.7966303257470129,0.8786994043555727,0.08849859237670898,0.8704989035386431,0.8719652819549655,0.028472900390625,0.847074827541363
0.8152969494105758,0.006721359479765275,0.770801526633161,0.5641013829421174,1.0,0.7051267286776468,0.8139240356519654,0.06786370277404785,0.7843709702584686,0.7945562280066722,0.0462803840637207,0.7547653810242705
0.8790657913483436,0.007616515452766628,0.8507363680486211,0.6108047203400304,1.0,0.763505900425038,0.8904812180403637,0.08111572265625,0.8833804532145171,0.8842720806590901,0.026299715042114258,0.8619150295843911
0.8629929804477048,0.008605051048189344,0.8308924883216782,0.63445939650124,1.0,0.7930742456265498,0.8580575032505895,0.07291150093078613,0.8407997542959333,0.8512249963072535,0.03248786926269531,0.8221532126997406
0.8732803263724163,0.005791363455359333,0.8430482488293601,0.641530159807757,1.0,0.8019126997596961,0.881697805060234,0.09192585945129395,0.875103721188116,0.8758958263473435,0.02864861488342285,0.8520319366550351
0.8226897050631438,0.009130391590905866,0.7806447292266562,0.5833247886852977,1.0,0.7291559858566221,0.8245329535048186,0.07982683181762695,0.8006228998354299,0.8313751865205953,0.029488086700439453,0.796591004825854
0.8865200190201479,0.006026430423927278,0.8596566313811667,0.6311516358290128,1.0,0.7889395447862659,0.9005299409790003,0.0670323371887207,0.8924205105209305,0.9019887587116175,0.02851080894470215,0.8846136506256973
0.8531478245654763,0.006797509941037399,0.8181341581921048,0.5713694660767423,1.0,0.7142118325959279,0.872751727770241,0.06427383422851562,0.8570081182699302,0.8678613877160288,0.03074026107788086,0.8425117999145062
0.8838441634486702,0.006310497553309283,0.856382828699165,0.6634894107993701,1.0,0.8293617634992125,0.9126498493310821,0.11562442779541016,0.9197184186127051,0.9152758729321848,0.027171850204467773,0.9008878037163479
0.8596814168141221,0.005945932258589529,0.8260882540822999,0.5951125722419933,1.0,0.7438907153024916,0.8571467754538143,0.10742688179016113,0.8482901897648082,0.8455711285891528,0.026781320571899414,0.8136592408794159
0.7738762298492783,0.007701298695246933,0.7192706119854095,0.5341035676100904,1.0,0.6676294595126129,0.7649988716115073,0.09386897087097168,0.7297158322321269,0.763414703003661,0.02974557876586914,0.7117047734460435
0.8303378772442204,0.006942154892544416,0.7896578852784115,0.6022195575212674,1.0,0.7527744469015842,0.8441493708035633,0.06738829612731934,0.822033787536284,0.8308910706800289,0.032576560974121094,0.7967579785935662
0.8793471457391477,0.007030322843233667,0.8509415128847431,0.6547996896971522,1.0,0.8184996121214402,0.9086534260703946,0.07227468490600586,0.9038854538144946,0.9125667376770321,0.03148674964904785,0.8985801095085522
0.914871704005926,0.006355792634099831,0.8951785781659324,0.6985421421987787,1.0,0.8731776777484734,0.9345305215464477,0.06074881553649902,0.9333503558171843,0.9235355920662582,0.03408551216125488,0.9129408681231364
0.8653189518914745,0.005418742783231709,0.8330033755601509,0.6816659645656906,1.0,0.8520824557071133,0.8992228926579457,0.06974315643310547,0.8914644049307086,0.9079936994044473,0.03430771827697754,0.8935690538248034
0.6839217945321914,0.007274618882999543,0.606720897885989,0.43791366938735926,1.0,0.547392086734199,0.6911040043072407,0.10380816459655762,0.6398320465331903,0.6861761159733973,0.027989864349365234,0.614717611054088
0.9168714877518789,0.0070621940403335125,0.8978549081999319,0.6799221832164732,1.0,0.8499027290205915,0.9177566615369557,0.07523989677429199,0.9160058011147675,0.9115064482276449,0.0277252197265625,0.8963143652161967
0.8985827225335965,0.006437865678641912,0.8748378695866561,0.6722713659161041,1.0,0.8403392073951301,0.9250265099812717,0.11459636688232422,0.9349322291971707,0.9231252279197849,0.02854633331298828,0.9110431182279782
0.7566482239905058,0.011501742250033463,0.6986857155506405,0.5267674994588654,1.0,0.6584593743235817,0.7789286959910795,0.09867286682128906,0.7483290866941716,0.7939494249154,0.03002452850341797,0.7499429132701044
0.8834737607566756,0.00811200353484363,0.8563702018295553,0.6960420776863426,1.0,0.8700525971079283,0.9241259252476565,0.07190132141113281,0.9231327369123536,0.9177833239643036,0.04053544998168945,0.9073630174508017
0.8968108312688293,0.006982102529391944,0.8727590647183845,0.6629139333298989,1.0,0.8286424166623736,0.9193697324443038,0.06964778900146484,0.9166241128057458,0.9148698631375856,0.03491830825805664,0.9023169059864959
0.9099929416494187,0.006561558417930792,0.889131566666256,0.6893270183798519,1.0,0.8616587729748147,0.9371859050990058,0.07265067100524902,0.9396450491250694,0.9300599609237756,0.03166484832763672,0.9204911632366287
0.9239401639306486,0.006393383619545405,0.906523550818197,0.6989562890666647,1.0,0.8736953613333309,0.9290293120816004,0.07381224632263184,0.9297397016826584,0.9228150512584096,0.030348777770996094,0.911106008515761
0.8320255583685716,0.00790010549851357,0.7920069743353428,0.5989310725156066,1.0,0.7486638406445082,0.8664200295364299,0.07721805572509766,0.8523295508518117,0.8592878393096758,0.03712010383605957,0.8333898250961095
0.8622958585292112,0.007173634042851689,0.8296632316722268,0.6698813400479894,1.0,0.8373516750599866,0.891479182926655,0.07334303855895996,0.8826847382980586,0.9135862940268886,0.033951520919799805,0.9004707477635606
0.8811100593606904,0.0074311737346531475,0.8532453676345262,0.6938236669777318,1.0,0.8672795837221647,0.9178139284397064,0.07659029960632324,0.9164149854512138,0.9217195030551076,0.039139509201049805,0.9119342561191469
0.8340652220297889,0.007554778826141645,0.7944702222437716,0.5793695361693397,1.0,0.7242119202116746,0.8565414208983982,0.08001971244812012,0.8406817042350279,0.8546917364227979,0.03418278694152832,0.8269103672638793
0.8736326663937392,0.00653457659899412,0.8436744771419225,0.6773797096031505,1.0,0.8467246370039381,0.9058558657990463,0.08239984512329102,0.9029197935296305,0.9002929379007575,0.03098154067993164,0.8831115575459296
0.9033065067989872,0.005771760313575514,0.8805760735771277,0.6531121348174861,1.0,0.8163901685218575,0.9212555330309369,0.06963133811950684,0.9189772508185478,0.9107327676909269,0.031585693359375,0.8963123829535024
